record_id,reader_id,reader_expertise,test_session_id,round_number,question_number,test_level,test_mode,has_ai_assistance,image_id,isic_id,true_diagnosis,diagnosis_full_name,diagnosis_type,is_malignant,reader_diagnosis,is_correct,is_correct_numeric,response_time_seconds,clinical_decision,requires_intervention,is_completed,pairing_id
11,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,11,47,without_ai,False,240316,ISIC_0598387,MEL,Melanoma,malignant,True,VASC,False,0.0,2.04,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240316_1
12,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,12,47,with_ai,True,240316,ISIC_0598387,MEL,Melanoma,malignant,True,MEL,True,1.0,6.73,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240316_1
13,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,13,47,without_ai,False,240130,ISIC_6141356,NV,Melanocytic Nevi,benign,False,NV,True,1.0,5.68,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240130_1
14,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,14,47,with_ai,True,240130,ISIC_6141356,NV,Melanocytic Nevi,benign,False,NV,True,1.0,4.05,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240130_1
15,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,15,47,without_ai,False,243589,ISIC_5242239,NV,Melanocytic Nevi,benign,False,NV,True,1.0,4.44,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243589_1
16,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,16,47,with_ai,True,243589,ISIC_5242239,NV,Melanocytic Nevi,benign,False,NV,True,1.0,2.07,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243589_1
17,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,17,47,without_ai,False,244307,ISIC_0381744,AKIEC,Actinic Keratosis,premalignant,True,NV,False,0.0,3.03,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244307_1
18,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,18,47,with_ai,True,244307,ISIC_0381744,AKIEC,Actinic Keratosis,premalignant,True,VASC,False,0.0,2.02,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244307_1
19,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,19,47,without_ai,False,241807,ISIC_3088055,BCC,Basal Cell Carcinoma,malignant,True,VASC,False,0.0,3.07,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241807_1
20,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,20,47,with_ai,True,241807,ISIC_3088055,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,5.54,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241807_1
21,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,21,47,without_ai,False,244674,ISIC_8981897,DF,Dermatofibroma,benign,False,DF,True,1.0,5.62,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244674_1
22,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,22,47,with_ai,True,244674,ISIC_8981897,DF,Dermatofibroma,benign,False,DF,True,1.0,2.63,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244674_1
23,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,23,47,without_ai,False,242776,ISIC_4757362,NV,Melanocytic Nevi,benign,False,NV,True,1.0,4.15,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242776_1
24,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,24,47,with_ai,True,242776,ISIC_4757362,NV,Melanocytic Nevi,benign,False,NV,True,1.0,2.33,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242776_1
25,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,25,47,without_ai,False,242677,ISIC_6137075,INF,Inflammatory,inflammatory,False,DF,False,0.0,3.86,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242677_1
26,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,26,47,with_ai,True,242677,ISIC_6137075,INF,Inflammatory,inflammatory,False,BCC,False,0.0,2.39,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242677_1
27,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,27,47,without_ai,False,242762,ISIC_8791057,VASC,Vascular Lesions,benign,False,VASC,True,1.0,5.73,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242762_1
28,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,28,47,with_ai,True,242762,ISIC_8791057,VASC,Vascular Lesions,benign,False,AKIEC,False,0.0,3.48,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242762_1
29,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,29,47,without_ai,False,241017,ISIC_6161217,SCCKA,Squamous Cell Carcinoma,malignant,True,VASC,False,0.0,2.0,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241017_1
30,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,30,47,with_ai,True,241017,ISIC_6161217,SCCKA,Squamous Cell Carcinoma,malignant,True,AKIEC,False,0.0,4.04,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241017_1
31,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,1,47,without_ai,False,240979,ISIC_4763505,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,25.41,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240979_2
32,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,2,47,with_ai,True,240979,ISIC_4763505,BCC,Basal Cell Carcinoma,malignant,True,AKIEC,False,0.0,6.81,local_therapy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240979_2
33,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,3,47,without_ai,False,243102,ISIC_0368554,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,6.46,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243102_2
34,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,4,47,with_ai,True,243102,ISIC_0368554,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,2.4,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243102_2
35,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,5,47,without_ai,False,243299,ISIC_7436110,NV,Melanocytic Nevi,benign,False,NV,True,1.0,3.21,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243299_2
36,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,6,47,with_ai,True,243299,ISIC_7436110,NV,Melanocytic Nevi,benign,False,NV,True,1.0,2.2,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243299_2
37,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,7,47,without_ai,False,243934,ISIC_3688805,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,6.34,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243934_2
38,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,8,47,with_ai,True,243934,ISIC_3688805,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,1.73,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243934_2
39,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,9,47,without_ai,False,242857,ISIC_2128070,SCCKA,Squamous Cell Carcinoma,malignant,True,BCC,False,0.0,4.61,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242857_2
40,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,10,47,with_ai,True,242857,ISIC_2128070,SCCKA,Squamous Cell Carcinoma,malignant,True,BCC,False,0.0,2.35,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242857_2
41,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,11,47,without_ai,False,243013,ISIC_8858676,BKL,Benign Keratosis,benign,False,BKL,True,1.0,6.09,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243013_2
42,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,12,47,with_ai,True,243013,ISIC_8858676,BKL,Benign Keratosis,benign,False,BKL,True,1.0,2.01,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243013_2
43,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,13,47,without_ai,False,244306,ISIC_3570541,VASC,Vascular Lesions,benign,False,VASC,True,1.0,3.7,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244306_2
44,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,14,47,with_ai,True,244306,ISIC_3570541,VASC,Vascular Lesions,benign,False,VASC,True,1.0,2.12,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244306_2
45,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,15,47,without_ai,False,243674,ISIC_0303344,MEL,Melanoma,malignant,True,MEL,True,1.0,10.03,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243674_2
46,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,16,47,with_ai,True,243674,ISIC_0303344,MEL,Melanoma,malignant,True,MEL,True,1.0,7.23,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243674_2
47,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,17,47,without_ai,False,244686,ISIC_2515838,OTHER_BENIGN,Other Benign,benign,False,OTHER_BENIGN,True,1.0,5.98,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244686_2
48,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,18,47,with_ai,True,244686,ISIC_2515838,OTHER_BENIGN,Other Benign,benign,False,OTHER_BENIGN,True,1.0,5.04,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244686_2
49,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,19,47,without_ai,False,242029,ISIC_8120902,AKIEC,Actinic Keratosis,premalignant,True,AKIEC,True,1.0,5.14,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242029_2
50,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,20,47,with_ai,True,242029,ISIC_8120902,AKIEC,Actinic Keratosis,premalignant,True,AKIEC,True,1.0,2.42,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242029_2
51,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,21,47,without_ai,False,240827,ISIC_5461210,MEL,Melanoma,malignant,True,MEL,True,1.0,4.4,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240827_2
52,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,22,47,with_ai,True,240827,ISIC_5461210,MEL,Melanoma,malignant,True,MEL,True,1.0,14.15,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_240827_2
53,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,23,47,without_ai,False,243718,ISIC_7302180,NV,Melanocytic Nevi,benign,False,NV,True,1.0,4.35,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243718_2
54,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,24,47,with_ai,True,243718,ISIC_7302180,NV,Melanocytic Nevi,benign,False,NV,True,1.0,1.8,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243718_2
55,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,25,47,without_ai,False,244719,ISIC_0290183,NV,Melanocytic Nevi,benign,False,NV,True,1.0,3.75,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244719_2
56,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,26,47,with_ai,True,244719,ISIC_0290183,NV,Melanocytic Nevi,benign,False,NV,True,1.0,2.35,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244719_2
57,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,27,47,without_ai,False,243889,ISIC_6488682,BKL,Benign Keratosis,benign,False,BCC,False,0.0,5.97,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243889_2
58,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,28,47,with_ai,True,243889,ISIC_6488682,BKL,Benign Keratosis,benign,False,BCC,False,0.0,2.32,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243889_2
59,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,29,47,without_ai,False,241095,ISIC_9157592,DF,Dermatofibroma,benign,False,BCC,False,0.0,10.06,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241095_2
60,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,d41d024b1eb2faf895abfbd586beba553db30798,2,30,47,with_ai,True,241095,ISIC_9157592,DF,Dermatofibroma,benign,False,AKIEC,False,0.0,3.82,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241095_2
61,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,1,47,without_ai,False,243774,ISIC_8508207,BKL,Benign Keratosis,benign,False,BKL,True,1.0,6.01,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243774_3
62,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,2,47,with_ai,True,243774,ISIC_8508207,BKL,Benign Keratosis,benign,False,BKL,True,1.0,3.23,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243774_3
63,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,3,47,without_ai,False,241768,ISIC_4478363,MEL,Melanoma,malignant,True,MEL,True,1.0,4.88,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241768_3
64,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,4,47,with_ai,True,241768,ISIC_4478363,MEL,Melanoma,malignant,True,MEL,True,1.0,4.35,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241768_3
65,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,5,47,without_ai,False,242863,ISIC_8042747,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,5.39,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242863_3
66,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,6,47,with_ai,True,242863,ISIC_8042747,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,2.41,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242863_3
67,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,7,47,without_ai,False,244420,ISIC_0311944,INF,Inflammatory,inflammatory,False,OTHER_BENIGN,False,0.0,14.08,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244420_3
68,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,8,47,with_ai,True,244420,ISIC_0311944,INF,Inflammatory,inflammatory,False,OTHER_BENIGN,False,0.0,7.52,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244420_3
69,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,9,47,without_ai,False,244070,ISIC_8040056,NV,Melanocytic Nevi,benign,False,NV,True,1.0,9.93,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244070_3
70,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,10,47,with_ai,True,244070,ISIC_8040056,NV,Melanocytic Nevi,benign,False,NV,True,1.0,2.74,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244070_3
71,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,11,47,without_ai,False,241255,ISIC_0350747,NV,Melanocytic Nevi,benign,False,NV,True,1.0,3.35,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241255_3
72,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,12,47,with_ai,True,241255,ISIC_0350747,NV,Melanocytic Nevi,benign,False,NV,True,1.0,2.14,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241255_3
73,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,13,47,without_ai,False,241596,ISIC_1996485,VASC,Vascular Lesions,benign,False,VASC,True,1.0,6.17,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241596_3
74,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,14,47,with_ai,True,241596,ISIC_1996485,VASC,Vascular Lesions,benign,False,VASC,True,1.0,23.79,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241596_3
75,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,15,47,without_ai,False,241826,ISIC_9442868,AKIEC,Actinic Keratosis,premalignant,True,BKL,False,0.0,6.27,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241826_3
76,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,16,47,with_ai,True,241826,ISIC_9442868,AKIEC,Actinic Keratosis,premalignant,True,BKL,False,0.0,2.3,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241826_3
77,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,17,47,without_ai,False,242070,ISIC_6070426,DF,Dermatofibroma,benign,False,INF,False,0.0,5.35,dismiss,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242070_3
78,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,18,47,with_ai,True,242070,ISIC_6070426,DF,Dermatofibroma,benign,False,INF,False,0.0,5.7,monitor,False,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_242070_3
79,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,19,47,without_ai,False,241643,ISIC_5513367,MEL,Melanoma,malignant,True,MEL,True,1.0,4.3,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241643_3
80,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,20,47,with_ai,True,241643,ISIC_5513367,MEL,Melanoma,malignant,True,MEL,True,1.0,2.23,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241643_3
81,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,21,47,without_ai,False,241813,ISIC_9002119,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,5.03,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241813_3
82,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,22,47,with_ai,True,241813,ISIC_9002119,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,1.86,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241813_3
83,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,23,47,without_ai,False,244015,ISIC_7034620,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,8.92,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244015_3
84,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,24,47,with_ai,True,244015,ISIC_7034620,BCC,Basal Cell Carcinoma,malignant,True,BCC,True,1.0,2.31,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_244015_3
85,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,25,47,without_ai,False,241771,ISIC_8604662,SCCKA,Squamous Cell Carcinoma,malignant,True,AKIEC,False,0.0,9.72,local_therapy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241771_3
86,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,26,47,with_ai,True,241771,ISIC_8604662,SCCKA,Squamous Cell Carcinoma,malignant,True,AKIEC,False,0.0,9.08,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_241771_3
87,45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,7fb039c220941b15cab47678f60403cc0d0733db,3,27,47,without_ai,False,243321,ISIC_8319384,BKL,Benign Keratosis,benign,False,SCCKA,False,0.0,7.54,biopsy,True,True,45accf0ad769f505b9f19ea5e27410b6c4c45356_243321_3
